titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image,boxoffice
Le Destin de Juliette,1983-09-21,Drame,115,Aline Issermann,Panoceanic Films,"Laure Duthilleul,Richard Bohringer,Hippolyte Girardot",France,Français,Long-métrage,1983,0,"Vingt ans de la vie d’une femme d’une volonté extraordinaire. Fille aînée d’un maréchal-ferrant, Juliette aime un ouvrier agricole, Pierre, mais se voit contrainte d’épouser un cheminot, Marcel, qu’elle n’aime pas, afin de subvenir aux besoins essentiels de ses parents. Marcel n’arrive pas à développer une relation sentimentale avec Juliette. Devant cet échec, il sombre dans l’alcoolisme. La relation entre Juliette et Marcel tourne rapidement au cauchemar...",60572,https://fr.web.img2.acsta.net/c_310_420/pictures/23/01/02/17/12/1752305.jpg,60
Star Wars : Episode VI - Le Retour du Jedi,1983-10-19,Aventure_Science fiction,133,Richard Marquand,-,"Mark Hamill,Harrison Ford,Carrie Fisher",U.S.A.,Anglais,Long-métrage,1983,5,"L'Empire galactique est plus puissant que jamais : la construction de la nouvelle arme, l'Etoile de la Mort, menace l'univers tout entier... Arrêté après la trahison de Lando Calrissian, Han Solo est remis à l'ignoble contrebandier Jabba Le Hutt par le chasseur de primes Boba Fett. Après l'échec d'une première tentative d'évasion menée par la princesse Leia, également arrêtée par Jabba, Luke Skywalker et Lando parviennent à libérer leurs amis.",25803,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/35/41/62/18422602.jpg,4694000
Blood Simple,1985-07-03,Policier_Thriller,96,Joel Coen,Les Acacias,"John Getz,Frances McDormand,Dan Hedaya",U.S.A.,Anglais,Long-métrage,1984,7,"Au Texas, un propriétaire de bar découvrant que sa femme le trompe avec le barman, engage un détective texan pour les assassiner. Mais sous des dehors de parfait imbécile, ce dernier va se révéler machiavélique et imprévisible…",25453,https://fr.web.img2.acsta.net/c_310_420/pictures/18/07/06/14/53/3944890.jpg,2286
Hitcher,1986-06-25,Epouvante-horreur_Thriller,97,Robert Harmon,-,"Rutger Hauer,C. Thomas Howell,Jennifer Jason Leigh",U.S.A.,Anglais,Long-métrage,1986,118,"Jim Halsey accepte de convoyer une voiture à travers les Etats-Unis pour s'éviter des frais de voyage onéreux. Par une nuit pluvieuse il prend en auto-stop un dénommé John Ryder, un personnage étrange et inquiétant. Jim comprend très rapidement qu'il a affaire à un tueur psychopathe et réussit à se débarrasser de son dangereux compagnon de route.",36723,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/63/28/45/18685067.jpg,1104594
Top Gun,1986-09-17,Action_Drame_Romance,110,Tony Scott,Splendor Films,"Tom Cruise,Kelly McGillis,Tom Skerritt",U.S.A.,Anglais,Long-métrage,1986,4,"Jeune as du pilotage et tête brûlée d'une école réservée à l'élite de l'aéronavale US (""Top Gun""), Pete Mitchell, dit ""Maverick"", tombe sous le charme d'une instructrice alors qu'il est en compétition pour le titre du meilleur pilote...",2133,https://fr.web.img4.acsta.net/c_310_420/pictures/15/06/12/12/58/422779.jpg,1900000
La Colline a des yeux 2,1987-02-25,Epouvante-horreur,86,Wes Craven,-,"Robert Houston,Tamara Stafford,Kevin Blair",U.S.A.,Anglais,Long-métrage,1985,50,"Un groupe de bikers entreprend un voyage pour participer à une course qui se déroule non loin du désert où s'est déroulé un grave accident quelques années auparavant. Ils décident de prendre un bus, mais celui-ci tombe en panne au beau milieu du désert...",54945,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/71/25/85/19129224.jpg,10000000
As Tears Go By - Ainsi vont les larmes,1989-05-14,Drame_Romance,102,Wong Kar-Wai,The Jokers / Les Bookmakers,"Maggie Cheung,Andy Lau,Jacky Cheung",Hong-Kong,Cantonais,Long-métrage,1988,19,"Petit gangster de Hong-Kong, Wah se partage entre son boulot habituel, le recouvrement de dettes, et la nécessité de protéger son acolyte, Fly, à la conduite problématique : celui-ci ne cesse d’emprunter de l’argent qu’il ne peut jamais rembourser. Mais cette vie, déjà̀ passablement déréglée, est bouleversée quand Wah doit héberger sa jolie cousine, Ngor, qui vit loin de la ville, sur l’île de Lantau. Wah entame alors un épuisant va-et-vient entre son amour naissant pour Ngor, mirage d’une vie paisible, et sa fidélité́ à son «frère» de gang, Fly, tabassé à répétition par les hommes de main d’un autre gangster, Tony. Wah devra choisir sa destinée.",40629,https://fr.web.img6.acsta.net/c_310_420/pictures/22/06/02/08/56/2127880.jpg,3771
Torch Song Trilogy,1990-05-02,Comédie dramatique,120,Paul Bogart,Carlotta Films,"Anne Bancroft,Matthew Broderick,Harvey Fierstein",U.S.A.,Anglais,Long-métrage,1988,1,"Arnold enchante les foules d'un cabaret new-yorkais, travesti en chanteuse sous le nom de Virginia Hamm. Juif et homosexuel, il a du mal à faire accepter à sa mère les fantaisies de son mode de vie. Un soir, il rencontre Ed, son premier véritable amour. Mais celui-ci s'avère être un bisexuel qui le partage avec une femme ! Un an plus tard, Arnold se console dans les bras d'Alan, jeune amant tendre, jusqu'à un nouveau bouleversement...",5598,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/69/67/99/19087425.jpg,661
La Belle et la Bête,1992-10-21,Animation_Comédie musicale_Famille_Romance,87,Gary Trousdale,The Walt Disney Company France,"Bénédicte Lecroard,Paige O'Hara,Emmanuel Jacomi",U.S.A.,Anglais,Long-métrage,1991,27,"Belle est une jeune fille sensible et imaginative, qui passe ses journées plongée dans la lecture et qui repousse obstinément les avances de Gaston, un bellâtre musclé et vaniteux. Seul Maurice, son père, un inventeur farfelu, compte dans sa vie. Un jour que ce dernier se perd dans la forêt, il doit se réfugier dans un château pour échapper à une meute de loups. Irrité par son intrusion, le maître des lieux, une Bête gigantesque et terrifiante, le jette dans un cachot. Pour sauver son père, Belle accepte d’être retenue prisonnière à sa place…",7229,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/64/74/82/20104395.jpg,22213922
Un jour sans fin,1993-07-28,Comédie_Fantastique,101,Harold Ramis,Les Acacias,"Bill Murray,Andie MacDowell,Stephen Tobolowsky",U.S.A.,Anglais,Long-métrage,1993,5,"Phil Connors, journaliste à la télévision et responsable de la météo part faire son reportage annuel dans la bourgade de Punxsutawney où l'on fête le ""Groundhog Day"" : ""Jour de la marmotte"". Dans l'impossibilité de rentrer chez lui ensuite à Pittsburgh pour cause d'intempéries il se voit forcé de passer une nuit de plus dans cette ville perdue. Réveillé très tôt le lendemain il constate que tout se produit exactement comme la veille et réalise qu'il est condamné à revivre indéfiniment la même journée, celle du 2 février...",8066,https://fr.web.img5.acsta.net/c_310_420/pictures/22/06/30/15/33/1931558.jpg,85330
Jurassic Park,1993-10-20,Aventure_Science fiction,122,Steven Spielberg,Universal Pictures International France,"Sam Neill,Laura Dern,Jeff Goldblum",U.S.A.,Anglais,Long-métrage,1993,9,"Ne pas réveiller le chat qui dort... C'est ce que le milliardaire John Hammond aurait dû se rappeler avant de se lancer dans le ""clonage"" de dinosaures. C'est à partir d'une goutte de sang absorbée par un moustique fossilisé que John Hammond et son équipe ont réussi à faire renaître une dizaine d'espèces de dinosaures. Il s'apprête maintenant avec la complicité du docteur Alan Grant, paléontologue de renom, et de son amie Ellie, à ouvrir le plus grand parc à thème du monde. Mais c'était sans compter la cupidité et la malveillance de l'informaticien Dennis Nedry, et éventuellement des dinosaures, seuls maîtres sur l'île...",8488,https://fr.web.img2.acsta.net/c_310_420/pictures/20/07/21/16/53/1319265.jpg,18620145
Le Roi Lion,1994-11-23,Animation_Aventure_Comédie musicale_Famille,89,Roger Allers,The Walt Disney Company France,"Emmanuel Curtil,Matthew Broderick,Dimitri Rougeul",U.S.A.,Anglais,Long-métrage,1994,1144,"Sur les Hautes terres d’Afrique règne un lion tout-puissant, le roi Mufasa, que tous les hôtes de la jungle respectent et admirent pour sa sagesse et sa générosité. Son jeune fils Simba sait qu’un jour il lui succédera, conformément aux lois universelles du cycle de la vie, mais il est loin de deviner les épreuves et les sacrifices que lui imposera l’exercice du pouvoir. Espiègle, naïf et turbulent, le lionceau passe le plus clair de son temps à jouer avec sa petite copine Nala et à taquiner Zazu, son digne précepteur. Son futur royaume lui apparaît en songe comme un lieu enchanté où il fera bon vivre, s’amuser et donner des ordres. Cependant, l’univers de Simba n’est pas aussi sûr qu’il le croie. Scar, le frère de Mufasa, aspire en effet depuis toujours au trône. Maladivement jaloux de son aîné, il intrigue pour l’éliminer en même temps que son successeur. Misant sur la curiosité enfantine et le tempérament aventureux de Simba, il révèle à celui-ci l’existence d’un mystérieux et dangereux cimetière d’éléphants. Simba, oubliant les avertissements répétés de son père, s’y rend aussitôt en secret avec Nala et se fait attaquer par 3 hyènes féroces. Par chance, Mufasa arrive à temps pour sauver l’imprudent lionceau et sa petite compagne. Mais Scar ne renonce pas à ses sinistres projets. Aidé des 3 hyènes, il attire Simba dans un ravin et lance à sa poursuite un troupeau de gnous. N’écoutant que son courage, Mufasa sauve à nouveau son fils et tente de se mettre à l’abri en gravissant la falaise. Repoussé par son frère félon, il périt sous les sabots des gnous affolés. Scar blâme alors l’innocent Simba pour la mort du Roi et le persuade de quitter pour toujours les Hautes terres. Simba se retrouve pour la première fois seul et démuni face à un monde hostile. C’est alors que le destin place sur sa route un curieux tandem d’amis...",10862,https://fr.web.img6.acsta.net/c_310_420/pictures/22/09/20/12/10/2512840.jpg,210904
Piège à grande vitesse,1995-09-20,Action,99,Geoff Murphy,Warner Bros. France,"Steven Seagal,Eric Bogosian,Katherine Heigl",U.S.A.,Anglais,Long-métrage,1995,96,"Le génie de l'informatique Travis Dane, déclaré mort, se trouve à bord d'un train transportant des missiles destinés aux plus grandes villes américaines. Accompagné de ses complices, ils s'empare de la rame afin de détourner un satellite et déclencher les missiles sans savoir que Casey Ryback, ancien marine reconverti en cuisiner, se trouve à bord en compagnie de sa nièce.",52497,https://fr.web.img4.acsta.net/c_310_420/medias/nmedia/18/63/28/32/18685054.jpg,23500000
Toy Story,1996-03-27,Animation_Comédie_Famille,77,John Lasseter,The Walt Disney Company France,"Richard Darbois,Tim Allen,Jacques Ferrière",U.S.A.,Anglais,Long-métrage,1995,608,"Quand le jeune Andy quitte sa chambre, ses jouets se mettent à mener leur propre vie sous la houlette de son pantin préféré, Woody le cow-boy. Andy ignore également que chaque anniversaire est une source d'angoisse pour ses jouets qui paniquent à l'idée d'être supplantés par un nouveau venu. Ce qui arrive quand Buzz l'éclair est offert à Andy. Cet intrépide aventurier de l'espace, venu d'une lointaine galaxie, va semer la zizanie dans ce petit monde et vivre avec Woody d'innombrables aventures aussi dangereuses que palpitantes.",14264,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/64/42/87/18778479.jpg,12491789
The Incredibly True Adventure of Two Girls in Love,1996-12-11,Comédie dramatique_Romance,94,Maria Maggenti,-,"Nelson Rodriguez,Nicole Ari Parker,Dale Dickey",U.S.A.,Anglais,Long-métrage,1995,1,L'histoires de deux adolescentes très différentes amoureuses l'une de l'autre.,115579,https://fr.web.img6.acsta.net/c_310_420/medias/nmedia/18/73/26/00/19196298.jpg,1066
Le Prince de Hombourg,1997-05-08,Drame_Guerre,85,Marco Bellocchio,Carlotta Films,"Andrea Di Stefano,Barbora Bobulova,Toni Bertorelli",Italie,Italien,Long-métrage,1997,6,"Le jeune prince de Hombourg, commandant de la cavalerie du Brandebourg pendant la guerre de Hollande, est en proie au somnambulisme. Une nuit, il ramasse un gant laissé par sa fiancée Natalia. Le lendemain, fasciné par la vision de ce gant, il n’écoute que distraitement les consignes militaires et, sur le champ de bataille, désobéit. L'oncle du prince, chef de l'armée, exige que son indiscipline soit punie de façon exemplaire…",59561,https://fr.web.img6.acsta.net/c_310_420/pictures/15/05/26/09/29/135335.jpg,3216
Titanic,1998-01-07,Drame_Romance,194,James Cameron,The Walt Disney Company France,"Leonardo DiCaprio,Kate Winslet,Billy Zane",U.S.A.,Anglais,Long-métrage,1997,8,"Southampton, 10 avril 1912. Le paquebot le plus grand et le plus moderne du monde, réputé pour son insubmersibilité, le ""Titanic"", appareille pour son premier voyage. Quatre jours plus tard, il heurte un iceberg. A son bord, un artiste pauvre et une grande bourgeoise tombent amoureux.",5818,https://fr.web.img6.acsta.net/c_310_420/pictures/23/01/10/16/06/0622119.jpg,498212
L'Homme qui murmurait à l'oreille des chevaux,1998-09-02,Drame_Romance,160,Robert Redford,-,"Robert Redford,Kristin Scott Thomas,Scarlett Johansson",U.S.A.,Anglais,Long-métrage,1998,5,"Profondement marquée par un accident qui a couté la vie à sa meilleure amie et causé d'irréparables lésions à son cheval, Grace MacLean, jeune fille de quatorze ans, vit repliée sur elle-même renonçant à lutter contre l'infirmité. Sa mère, Annie, refuse de s'avouer vaincue. Fermement décidée à sauver à la fois sa fille et l'animal, dont les destins sont liés, elle se lance à la recherche d'un dompteur de chevaux capable de guérir l'animal de sa peur. Elle retrouve ainsi au coeur du Montana la piste d'un légendaire ""Horse Whisperer"", spécialiste du dressage par la douceur...",18477,https://fr.web.img4.acsta.net/c_310_420/pictures/14/08/14/14/46/258743.jpg,45440
Il faut sauver le soldat Ryan,1998-09-30,Drame_Guerre,163,Steven Spielberg,United International Pictures (UIP),"Ryan Hurst,Tom Hanks,Tom Sizemore",U.S.A.,Anglais,Long-métrage,1998,5,"Alors que les forces alliées débarquent à Omaha Beach, Miller doit conduire son escouade derrière les lignes ennemies pour une mission particulièrement dangereuse : trouver et ramener sain et sauf le simple soldat James Ryan, dont les trois frères sont morts au combat en l'espace de trois jours. Pendant que l'escouade progresse en territoire ennemi, les hommes de Miller se posent des questions. Faut-il risquer la vie de huit hommes pour en sauver un seul ?",18598,https://fr.web.img6.acsta.net/c_310_420/medias/04/22/53/042253_af.jpg,165808
Le Masque de Zorro,1998-10-14,Action_Aventure_Romance,136,Martin Campbell,-,"Anthony Hopkins,Antonio Banderas,Catherine Zeta-Jones",U.S.A.,Anglais,Long-métrage,1998,5,"Après vingt ans de prison, Don Diego de La Vega, alias Zorro, qui a autrefois combattu avec succès l'oppression espagnole et qui est toujours poursuivi par la haine du gouverneur Rafael Montero, se cherche un successeur. Il rencontre alors un jeune brigand, Alejandro Murieta, qui a lui aussi quelques comptes a régler avec l'ancien gouverneur. Apres une formation complète, de La Vega remet a son élève le masque de Zorro, son épée et son fouet et l'envoie déjouer le sinistre complot de Montero visant a confisquer la Californie au Mexique.",18524,https://fr.web.img3.acsta.net/c_310_420/medias/nmedia/18/35/14/97/18449713.jpg,226753
"The X Files, le film",1998-10-21,Fantastique_Thriller,121,Rob Bowman,UFD,"Jeffrey DeMunn,Martin Landau,Blythe Danner",Canada,Anglais,Long-métrage,1998,163,"Les inénarrables aventures de l'agent Fox Mulder et de sa coéquipière Dana Scully adaptées ici pour le grand écran. Tout commence par la découverte, au nord du Texas, d'ossements préhistoriques dans une grotte par un jeune garçon. A leur contact un mystérieux parasite pénètre sa peau et envahit son organisme. Le corps de l'enfant est évacué par un certain Bronschweig avant l'arrivée des secours. Mulder et Scully vont bientôt découvrir un projet de guerre bactériologique par la propagation d'un virus. Le nord du Texas servirait de champ d'expérimentation...",19184,https://fr.web.img4.acsta.net/c_310_420/medias/04/28/43/042843_af.jpg,100301
La Vie est belle,1998-10-21,Comédie dramatique,117,Roberto Benigni,Bac Films,"Roberto Benigni,Horst Buchholz,Marisa Paredes",Italie,Italien,Long-métrage,1998,10,"En 1938, Guido, jeune homme plein de gaieté, rêve d'ouvrir une librairie, malgré les tracasseries de l'administration fasciste. Il tombe amoureux de Dora, institutrice étouffée par le conformisme familial et l'enlève le jour de ses fiançailles avec un bureaucrate du régime. Cinq ans plus tard, Guido et Dora ont un fils: Giosue. Mais les lois raciales sont entrées en vigueur et Guido est juif. Il est alors déporté avec son fils. Par amour pour eux, Dora monte de son plein gré dans le train qui les emmène aux camps de la mort où Guido veut tout faire pour éviter l'horreur à son fils...",64439,https://fr.web.img2.acsta.net/c_310_420/medias/04/23/08/042308_af.jpg,410237
The Truman Show,1998-10-28,Comédie_Drame,103,Peter Weir,Ciné Sorbonne,"Jim Carrey,Laura Linney,Natascha McElhone",U.S.A.,Anglais,Long-métrage,1998,5,"Truman Burbank mène une vie calme et heureuse. Il habite dans un petit pavillon propret de la radieuse station balnéaire de Seahaven. Il part tous les matins à son bureau d'agent d'assurances dont il ressort huit heures plus tard pour regagner son foyer, savourer le confort de son habitat modèle, la bonne humeur inaltérable et le sourire mécanique de sa femme, Meryl. Mais parfois, Truman étouffe sous tant de bonheur et la nuit l'angoisse le submerge. Il se sent de plus en plus étranger, comme si son entourage jouait un rôle. Il se sent observé...",18671,https://fr.web.img6.acsta.net/c_310_420/pictures/22/05/16/16/32/4176595.jpg,244990
Alice et Martin,1998-11-04,Drame,120,André Téchiné,Bac Films,"Juliette Binoche,Alexis Loret,Mathieu Amalric",France,Français,Long-métrage,1998,9,"Un soir, Martin arrive chez son frère Benjamin qui vit avec Alice. Il fuit la maison familiale et porte en lui un lourd secret. Alice tombe amoureuse de Martin, se retrouve enceinte et comprend qu'il a tué son père.",19170,https://fr.web.img2.acsta.net/c_310_420/pictures/14/08/22/12/12/297373.jpg,118215
Négociateur,1998-11-04,Policier_Thriller,140,F. Gary Gray,Warner Bros. France,"Samuel L. Jackson,Kevin Spacey,David Morse",Allemagne,Anglais,Long-métrage,1998,177,,19403,https://fr.web.img2.acsta.net/c_310_420/medias/04/30/64/043064_af.jpg,85976
Elizabeth,1998-11-11,Drame_Historique,124,Shekhar Kapur,PolyGram Film Distribution,"Cate Blanchett,Joseph Fiennes,Geoffrey Rush",Grande-Bretagne,Anglais,Long-métrage,1998,100,"Evocation du règne d'Elizabeth 1re d'Angleterre, fille du puissant Henri VIII et d'Anne Boylen. À la mort de sa mère, qui fut décapitée par ordre du roi, Elizabeth quitte la cour pour Hatfield House où elle reçoit une éducation adaptée à son rang. C'est sous la protection de la sixième et dernière épouse du roi Henri qu'elle regagnera peu à peu une place à la cour royale. Proclamée reine en 1558, elle régna dans un monde dominé par les hommes. Elle sut diriger le royaume, maitrisant le jeu du pouvoir. Son règne offrit à son pays l'une des plus fastueuses périodes de son histoire.",19280,https://fr.web.img2.acsta.net/c_310_420/pictures/14/10/13/11/08/247012.jpg,48243
Fourmiz,1998-11-11,Animation_Aventure_Comédie_Famille,83,Eric Darnell,United International Pictures (UIP),"Woody Allen,Sharon Stone,Sylvester Stallone",U.S.A.,Anglais,Long-métrage,1998,19,"Z-4195, fourmi ouvrière, est amoureux de la belle princesse Bala. Simple numéro parmi les milliards composant sa colonie il n'a aucune chance d'attirer le regard de la belle. Pourtant il demande l'aide de son meilleur ami, la fourmi soldat Weaver, afin d'approcher l’élue de son cœur. C'est ainsi que par un caprice du hasard, il parasite involontairement le plan machiavélique de l'ambitieux général Mandibule qui veut tout bonnement liquider la colonie afin de la recréer à son image. Z se retrouve bientôt à la tête d'une révolution.",19483,https://fr.web.img6.acsta.net/c_310_420/medias/04/31/50/043150_af.jpg,421717
Le Prince d'Egypte,1998-12-16,Animation_Aventure_Drame,99,Steve Hickner,United International Pictures (UIP),"Val Kilmer,Ralph Fiennes,Jeff Goldblum",U.S.A.,Anglais,Long-métrage,1998,158,"A travers l'histoire de deux frères, tous deux princes du plus grand empire sur terre, évocation de l'épopée de Moïse. Si l'un des deux frères a régné sur l'Egypte, l'autre a eu un destin encore plus extraordinaire. Quand leur parenté, fondée sur un mensonge, leur est révélée, tout les sépare, leur foi, leur passé et leur avenir et provoquera ainsi la chute d'une dynastie.",27657,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/00/02/16/99/19163348.jpg,5800000
Ennemi d'Etat,1999-01-06,Action_Espionnage_Thriller,133,Tony Scott,Gaumont Buena Vista International (GBVI),"Will Smith,Gene Hackman,Jon Voight",U.S.A.,Anglais,Long-métrage,1998,10,"Robert Clayton Dean, avocat engagé depuis ses débuts dans une lutte acharnée contre la mafia, rencontre fortuitement un ami d'enfance, témoin malgré lui d'un meurtre politique, ce qui plonge aussitôt l'avocat dans un engrenage infernal. Il devient ainsi le dernier possesseur de la seule preuve existante du crime commis par Thomas Reynolds, le directeur de la NSA, l'organisation gouvernementale la plus secrète et la plus puissante des Etats-Unis, envers un député. Reynolds va déployer toutes ses ressources pour neutraliser et discréditer Dean.",16026,https://fr.web.img4.acsta.net/c_310_420/pictures/210/151/21015100_20130625124415787.jpg,3000000
Elizabeth : l'âge d'or,1999-07-01,Drame_Historique,114,Shekhar Kapur,StudioCanal,"Cate Blanchett,Geoffrey Rush,Clive Owen",France,Anglais,Long-métrage,2007,22,"En 1585, Elizabeth Ière règne sur l'Angleterre depuis près de trente ans. Le vent destructeur du catholicisme fondamentaliste souffle sur l'Europe, sous la conduite de Philippe II d'Espagne. Soutenu par l'Eglise de Rome, le roi dispose d'une armée puissante et d'une Armada qui domine les mers. Philippe II est déterminé à renverser la reine ""hérétique"" et à ramener l'Angleterre au sein de l'Église romaine catholique.",57349,https://fr.web.img2.acsta.net/c_310_420/medias/nmedia/18/64/66/10/18817443.jpg,61154
