titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
A.X.L.,27/08/2018,2782017,,263788
Le Lac aux oies sauvages,01/01/2020,68436,55417,262099
"Miraï, ma petite soeur",02/01/2019,88044,49644,256365
Hairspray,29/08/2007,217088,144128,112075
La Fameuse invasion des ours en Sicile,16/10/2019,57404,62351,256798
Fleuve noir,25/07/2018,117809,78197,244715
Belladonna,22/06/2016,4142,3121,22015
Les Francis,30/07/2014,205642,118751,214522
Le Mur Invisible,13/03/2013,1543,4469,190949
Notre petite soeur,04/11/2015,48106,35420,236040
La Petite fabrique de nuages,20/03/2019,10218,3393,268872
World Trade Center,27/09/2006,391102,193154,61772
La Chambre des Officiers,03/10/2001,198226,139973,28113
"Ainbo, princesse d'Amazonie",21/07/2021,109322,56993,270638
L'Ex de ma vie,02/07/2014,119677,50107,224178
Monsieur N.,19/02/2003,116340,,42093
La Chute de l’Empire américain,27/02/2019,72788,45071,257839
The Spectacular Now,15/01/2014,10093,5248,142714
Simon Werner a disparu…,29/09/2010,48033,26464,177054
Bully,19/12/2001,18698,,36725
Bienvenue chez les Robinson,24/10/2007,116057,100582,60249
Gosford Park,27/03/2002,165185,155762,29126
Le Caméléon,30/06/2010,26908,9998,112167
Dark Water,07/09/2005,147141,103330,54204
Mon légionnaire,13/10/2021,19728,7285,280898
Le Come-back,21/03/2007,414487,158719,110051
The Queen,25/10/2006,308469,251230,109086
D'Artagnan,14/11/2001,142496,10800000,28875
L'Extraordinaire voyage du Fakir,06/06/2018,80690,43766,237885
Totally Spies! Le film,29/07/2009,85666,32166,136357
16 ans ou presque,25/12/2013,196500,210667,212754
Laisse-moi entrer,13/10/2010,64832,41770,141529
Pachamama,19/12/2018,64582,52249,252155
Chacun sa vie,22/03/2017,207383,62772,248351
Faute d'amour,27/09/2017,68330,53557,247348
Continuer,30/01/2019,23142,9724,255457
Drôles de petites bêtes,20/12/2017,48816,32892,253318
JCVD,11/06/2008,100684,42424,111414
Adults in the Room,13/11/2019,67389,31371,272251
Winter's Bone,09/03/2011,35752,25539,177805
Calculs meurtriers,12/06/2002,201857,80748,28687
Diplomatie,12/03/2014,134113,125163,195120
Captives,14/01/2015,57149,31186,211248
Un Petit Boulot,07/09/2016,163510,90502,236312
Slalom,02/06/2021,16200,8634,271068
Le Cinquième pouvoir,11/12/2013,27280,2590,210472
Elles,08/02/2012,41491,31728,178236
L'Ennemi,02/02/2022,6436,1214,285331
X Files - Régénération,06/08/2008,226630,84284,131886
Abraham Lincoln : Chasseur de Vampires,15/08/2012,246009,118183,184552
"Arac attack, les monstres à huit pattes",07/08/2002,181637,74608,28531
Les Poings contre les murs,11/06/2014,35412,21023,221658
Panique au village,04/11/2009,21978,8944,129228
Florence Foster Jenkins,20/07/2016,55876,32073,232226
Hasta la vista,07/03/2012,1090,37253,196515
The Killer Inside Me,18/08/2010,62584,34408,140586
Daddy Cool,08/11/2017,159402,64732,251988
Mary et Max.,07/10/2009,51399,40713,139621
Sahara,08/06/2005,176199,92251,52501
Twist À Bamako,12/01/2022,47130,31836,280201
Traqué,02/04/2003,118026,13500000,34960
Indian Palace,16/05/2012,101379,92041,186338
Confessions d'un homme dangereux,18/06/2003,87945,6000000,28824
Minuscule 2 - Les Mandibules du Bout du Monde,06/02/2019,257867,162009,241687
La Fièvre de Petrov,08/12/2021,8947,5229,277535
Le Contrat,18/07/2007,74260,61644,125287
Les Sans-dents,27/04/2022,8798,1549,276865
Mon voisin le tueur 2,12/04/2004,6685381,,49101
Un été à Osage County,05/03/2014,230896,110689,186179
Bébé mode d'emploi,15/12/2010,146971,112028,147914
Le Sang des Templiers,27/07/2011,76828,28446,142523
"Les Premiers, les Derniers",03/02/2016,38665,22084,231779
Les Sentiments,12/11/2003,422226,299519,47139
Yéti & Compagnie,24/10/2018,406484,687456,230803
Shaun le mouton,08/04/2015,314419,130907,221093
Stubby,29/05/2019,18400,14021,257153
Survivre,01/05/2013,6491,1525,206116
Les Anarchistes,18/11/2015,31263,11060,228249
Nine,10/03/2010,214280,90186,127947
Sans laisser de traces,17/03/2010,62527,23307,143767
Baahubali 2 : La Conclusion,01/05/2017,10354532,3402524,255168
Mémoires de jeunesse,30/09/2015,29139,14044,226934
"K-Pax, l'homme qui vient de loin",15/05/2002,126589,17400000,28569
Blade: Trinity,15/12/2004,321904,175763,46864
Bob l'éponge - Le film : Éponge en eaux troubles,07/09/2020,345000,345000,242955
On a failli être amies,02/07/2014,177279,87595,221896
De si jolis chevaux,13/06/2001,28139,,27046
Psycho Goreman,25/01/2021,40366,14326,281668
Une famille sur le ring,25/02/2019,7813113,4661991,253878
"Un jour, peut-être",02/07/2008,50836,17065,117247
Mords-moi sans hésitation,01/12/2010,124317,56819,182900
Millénium 2 - La Fille qui rêvait d'un bidon d'essence et d'une allumette,07/07/2010,115493,59079,145223
The Birth of a Nation,18/01/2017,59104,21984,233214
The Last Face,18/01/2017,38491,4112,228238
The Iceman,12/06/2013,54356,31523,187601
Locataires,20/04/2005,32655,27924,58136
Kidnap,07/08/2017,10016323,5096823,228961
Luna,18/04/2018,16692,4948,252879
N'oublie pas les fleurs,08/03/2023,3096,1205,306843
90 minutes au paradis,14/09/2015,2035273,,239270
Ma famille afghane,04/05/2022,11763,5572,292929
The Losers,26/04/2010,9605000,6000000,129368
Red 2,04/09/2013,336533,159655,189613
The Punisher - Zone de guerre,08/12/2008,4271451,1383898,130209
Renaissance,22/03/2006,141366,53081,17344
No Man's Land,26/09/2001,46453,,34877
Nos Années Folles,20/09/2017,66095,34165,246155
Fatima,14/10/2015,66812,55024,227827
Miss Bala,04/02/2019,6864744,2745129,255274
Bad Lieutenant : Escale à la Nouvelle-Orléans,24/03/2010,199231,51280,136311
Driven,18/07/2001,157301,105281,26889
Black Snake Moan,05/03/2007,4143199,1884690,61131
Un Mariage de princesse,16/08/2004,22956453,13051560,50883
Sex Trip,23/02/2004,6600000,4051428,55337
Une hirondelle a fait le printemps,12/09/2001,436861,395782,36313
Les Enquêtes du Département V : Miséricorde,15/04/2015,34163,11170,214175
L'Incroyable aventure de Bella,17/04/2019,17057,3118,260482
40 jours et 40 nuits,17/07/2002,357007,206581,28374
Ainsi va la vie,21/09/2016,17655,3618,214642
La Communion,11/03/2020,38246,3183,275707
Famille recomposée,26/05/2014,14245000,8425000,219076
The Last Girl – Celle qui a tous les dons,05/07/2017,60193,29450,236389
La Ville fantôme,18/03/2009,2034,5012315,127608
One Piece Film Z,22/05/2013,34315,10327,217959
Toute ressemblance...,04/12/2019,83401,20417,251872
L'Echappée belle,10/01/2018,30522,13204,247523
Serenity : l'ultime rébellion,26/10/2005,59860,10086680,57920
Looking for Eric,03/06/2009,170003,120451,136219
Arthur Rambo,09/02/2022,22203,6510,272215
"Piccolo, Saxo et Cie",27/12/2006,101152,50119,28778
A trois on y va,01/04/2015,66999,22704,229702
Cold Blood Legacy - La mémoire du sang,22/05/2019,77596,25601,273320
Bob l'éponge - Le film : Un héros sort de l'eau,25/02/2015,582073,364811,204160
Vous ne désirez que moi,16/02/2022,22526,11486,287637
Ghosts of Mars,28/11/2001,203781,101519,27050
Reality,10/10/2012,52480,28412,201756
Tetro,30/12/2009,102108,90355,126370
Un conte peut en cacher un autre,18/10/2017,16402,25089,256964
La Sincérité,15/01/2020,117,27,277527
Vie sauvage,05/11/2014,76114,45185,224962
Wildlife - Une saison ardente,26/12/2018,40565,39598,249234
Blindspotting,10/10/2018,11971,4041,261082
La Nuit a dévoré le monde,14/03/2018,11718,4504,244053
Liz et l'oiseau bleu,24/04/2019,9194,1991,264960
Biker Boyz,03/02/2003,10130000,4000000,47018
Madame Irma,13/12/2006,313999,145569,109251
Chasseurs de dragons,02/04/2008,215015,104151,33878
Sleepless,16/08/2017,114663,49844,235259
"Atomik Circus, le retour de James Bataille",28/07/2004,141753,65537,48353
Les Egarés,27/08/2003,182181,114999,44473
Whatever Works,08/07/2009,287452,163846,134107
Ma Meilleure Amie,22/06/2016,43102,25481,203476
Abus de faiblesse,19/02/2014,17386,6624,201599
Loin du paradis,26/03/2003,63022,,42137
Joséphine s'arrondit,17/02/2016,390145,237683,231740
Jersey Boys,25/06/2014,71092,77589,201568
Villa Caprice,09/06/2021,67576,29393,274710
Femmes du Caire,12/05/2010,15844,14212,170594
Ride Your Wave,08/09/2021,5636,2737,273491
Le Poulain,26/09/2018,92645,37250,254724
My Hero Academia: Heroes Rising,02/03/2020,5796862,1704205,272834
"So Long, My Son",17/07/2019,27300,20312,270944
21 nuits avec Pattie,02/12/2015,157914,78711,231598
Fièvre Méditerranéenne,21/12/2022,5745,1868,303881
Le Traducteur,20/10/2021,2975,749,262097
Tigerland,06/06/2001,19346,,29314
La Voix du pardon,29/05/2019,12985,5923,253104
Nocturama,07/09/2016,28472,12101,231885
Samhain,14/12/2022,5932,3000,293141
Une heure de tranquillité,07/01/2015,538215,178376,228326
Patéma et le monde inversé,19/03/2014,8183,4034,223761
Le cochon de Gaza,28/09/2011,62291,46348,187194
Ce dont rêvent les filles,07/04/2003,12060000,6700000,51288
The Magdalene Sisters,12/02/2003,124266,,47707
Child's Play : La poupée du mal,26/06/2019,87030,75847,265918
La Guerre selon Charlie Wilson,23/01/2008,280835,152726,61657
D'amour et d'eau fraîche,25/08/2010,20326,11307,173391
Tu mérites un amour,18/09/2019,26804,14289,273656
One Piece - Strong World,31/08/2011,10951,5607,147450
La Grande course au fromage,16/11/2016,14660,5550,239971
Eyes of War,23/06/2010,24185,11576,135491
Simone,25/09/2002,133661,65320,28981
Pom-pom Ladies,13/05/2019,5361937,2180698,249230
Devil,27/04/2011,10803,1869,140302
Papa,08/06/2005,120645,91019,56995
L'Amour est un crime parfait,22/01/2014,171693,98026,218186
L'Empire des loups,27/04/2005,429165,139672,55721
Next Door,05/01/2022,8910,3320,277654
La Montagne ensorcelée,16/03/2009,24402214,12786041,130201
"Shérif fais-moi peur, le film",31/08/2005,94431,41976,53718
Youth,12/03/2014,2910,1084,222124
The Last of Us,29/08/2018,850,170,249139
Tous les dieux du ciel,22/05/2019,462,84,261810
Le Temps d'un été,02/07/2007,3501971,2374904,119034
Complices,27/01/2010,58878,31630,133717
Studio 666,28/02/2022,1580000,,298242
Tabou,12/12/2012,34237,25533,201930
Neptune Frost,17/05/2023,415,155,293468
Invincible,28/08/2006,17031122,12151426,109713
Vertiges,02/02/2015,2747342,,190773
L'Adieu (The Farewell),15/01/2020,49752,28536,270046
L'École est finie,18/07/2018,60500,33021,262764
Match retour,29/01/2014,98045,34100,186903
Macbeth,25/11/2015,41081,23699,221172
"King Rising, Au Nom Du Roi",14/01/2008,2984524,,61481
Une Pluie sans fin,01/08/2018,47477,26519,263303
L'Echange des Princesses,03/01/2018,123056,87437,255768
Doom,23/11/2005,114289,54037,57664
Appaloosa,08/10/2008,131985,68536,123208
200 mètres,16/06/2021,5684,3664,286571
Charlie Mortdecai,28/01/2015,128410,58541,222711
La Fille de Monaco,27/08/2008,305632,147025,130954
Les Brigades du Tigre,19/04/2006,407863,178255,56062
Ema,09/09/2020,5834,2832,266744
Gretel And Hansel,03/02/2020,6154007,3580332,266889
Swing Rendez-vous,18/01/2023,676,171,306263
J'ai toujours rêvé d'être un gangster,02/04/2008,79238,52115,110966
"Hannah Montana, le film",24/06/2009,135334,89798,136571
Adopte Un Veuf,27/04/2016,419040,258594,239056
Les Passagers,18/03/2009,46507,33865,130670
Hypnotic,12/05/2004,63259,,50833
The Third Murder,18/04/2018,34499,19479,256295
Mia et le Migou,17/12/2008,127474,121071,109607
Soul Kitchen,24/03/2010,98099,52052,137293
I'm Not There,12/12/2007,48837,26963,52860
M,22/11/2017,35112,17492,224312
La Face cachée de Margo,19/08/2015,210483,142691,227902
Le Grand Meaulnes,11/10/2006,200979,161635,108966
The One,05/12/2001,264342,139517,29027
Aquarius,05/10/2016,51391,35404,239210
No et moi,24/11/2010,103608,52636,148102
"Deux jours, une nuit",28/05/2014,218520,152830,219102
Gemma Bovery,10/09/2014,7466,223688,219715
La Blonde aux seins nus,28/07/2010,9019,827,134541
Les derniers jours du monde,26/08/2009,71726,38207,138194
Cherchez la femme,05/07/2017,101789,39841,250462
L'Aventure des Marguerite,22/07/2020,85675,58645,269071
Gangsters,27/02/2002,146168,80648,38254
Chez Nous,01/03/2017,144010,81467,246368
Les convoyeurs attendent,29/09/1999,52649,,7118
Le Procès de l'herboriste,07/07/2021,17917,2489,273263
Colorful,23/11/2011,3526,1197,191823
Rush Hour 3,24/10/2007,318681,236946,53739
Anima Bella,12/10/2022,1795,822,296539
Respiro,15/01/2003,77204,84666,45458
Dans La Forêt,22/02/2017,12684,4238,229682
# Pire soirée,09/08/2017,66666,22498,243742
God Bless America,10/10/2012,376,24155,191623
Le Fils de Jean,07/09/2016,108116,73899,238274
Des gens bien,10/04/2019,2466,652,270800
Ecole paternelle,29/10/2003,203655,153519,45033
Playlist,09/06/2021,16168,6661,275666
Camping car,26/07/2006,55491,37634,57215
Rapt,25/11/2009,160585,100211,135904
Pédale dure,27/10/2004,235188,152927,41419
Planète 51,10/02/2010,225318,222523,126662
Café de Flore,01/02/2012,47611,18926,182049
Baby Phone,15/03/2017,58908,26682,248053
Le Dernier gang,07/11/2007,183532,73775,110619
Resident Evil : Apocalypse,13/10/2004,459152,226976,51386
La Mort de Louis XIV,09/11/2016,18407,11080,234860
La Deuxième étoile,20/12/2017,161366,91835,174396
The Rover,11/06/2014,33955,15499,207205
"Yo-Kai Watch, le film",16/08/2017,104185,46472,250946
Tout pour plaire,23/03/2005,489073,319274,56827
Noureev,26/06/2019,52691,51077,253809
In her shoes,23/11/2005,142353,67232,53755
"Et soudain, tout le monde me manque",27/04/2011,106713,71883,182894
L'Homme de Dieu,16/03/2022,1515,493,300105
Place Vendôme,18/11/1998,37701,,18832
Mon petit doigt m'a dit,20/04/2005,375878,298165,58226
Resident Evil : Extinction,10/10/2007,302319,148351,58083
Tengo sueños eléctricos,15/03/2023,313,132,303019
Gnomeo et Juliette,16/02/2011,5235,199928,60258
Adieu Berthe ou l'enterrement de mémé,27/06/2012,265725,130972,197440
"Lucas, fourmi malgré lui",16/08/2006,153606,114434,40139
Le Réseau Shelburn,29/01/2020,87,5064,271841
The Eye,16/04/2008,143604,82917,109327
Gueule d'ange,30/05/2018,54073,27967,258915
Les Plus belles années d'une vie,29/05/2019,85689,45093,268175
Les Géants,02/11/2011,1400,15502,179618
The Souvenir - Part I,09/02/2022,13082,7197,256402
Michael Clayton,24/10/2007,254575,177555,60901
Esprit de famille,04/01/2006,189085,103697,61587
Paranormal Activity 2,27/10/2010,377068,271630,177503
"Le Prix de la Vérité, L’histoire vraie de Graham Staines",17/05/2023,4192,1069,268813
L'Exorcisme de Hannah Grace,12/12/2018,80934,46821,248052
Hitcher,05/02/2007,1104594,,36723
Un mariage de rêve,13/05/2009,135522,95066,133546
Le Cercle - The Ring 2,06/04/2005,310690,203245,54681
Domino,30/11/2005,119522,53173,48636
Mademoiselle,28/03/2001,250597,126781,29387
Rogue l'ultime affrontement,19/09/2007,52638,9820089,109754
Mastemah,06/07/2022,3603,838,290784
Cube²: Hypercube,25/06/2003,221326,,41695
Bambou,15/07/2009,94606,36136,137480
Manhattan Lockdown,08/01/2020,103460,47648,248219
L'Art (délicat) de la séduction,28/03/2001,220274,65231,28244
Eastern Boys,09/04/2014,18285,12171,213991
Cessez-le-feu,26/04/2017,50556,32163,28673
Hijacking,17/07/2013,25871,17028,210626
17 filles,21/12/2011,30948,10439,179071
Syngué Sabour - Pierre de patience,27/02/2013,70677,48694,204927
Brick Mansions,30/04/2014,200301,81912,198969
Pierre Lapin 2,07/07/2021,482349,114208,264578
Mes Héros,19/12/2012,203694,103376,197311
Le Plan B,26/05/2010,196238,138188,141699
Asphalte,14/10/2015,36003,22821,231552
Ne nous soumets pas à la tentation,28/12/2011,382,210,179258
The Spirit,07/01/2009,174687,65235,114805
Sin Nombre,28/10/2009,47426,31787,142467
Koati,28/09/2022,39343,38478,285301
Primeval,15/01/2007,6048315,1878287,110505
Brocéliande,15/01/2003,88698,62118,44654
Assassination Nation,12/12/2018,19885,5540,255065
Je compte sur vous,06/01/2016,81868,30914,236349
Autoroute racer,28/07/2004,69431,,57293
L'Irlandais,28/12/2011,53970,40507,174675
Treize à la douzaine 2,26/12/2005,9350000,14250000,60986
A la merveille,13/03/2013,40425,27197,178063
Comme une image,29/09/2004,590485,381204,51309
Whiskey Tango Foxtrot,07/03/2016,7600000,4665013,227309
Sexy Dance 3 The Battle,25/08/2010,355666,250844,134514
Apnée,26/10/2016,16073,8701,244756
Big Mamma : De Père en Fils,06/04/2011,167945,88143,140127
People Jet Set 2,26/05/2004,413755,213943,53716
Effraction,25/07/2012,101567,58383,183477
Time and tide,19/12/2001,30798,,29242
Si seulement...,01/12/2004,30159,,47219
Balade entre les tombes,22/10/2014,110509,68211,195649
Tokyo Shaking,30/06/2021,24348,13082,280372
La Légende d'Hercule,26/03/2014,151842,60538,218303
Allumeuses !,24/07/2002,178361,116649,29146
Le Royaume interdit,01/10/2008,108439,67543,123392
L'Angle Mort,23/10/2019,6998,2403,249396
Trop belle !,30/06/2010,3493,2356,132095
Combien tu m'aimes ?,02/11/2005,294836,122437,57218
"Titeuf, le film (3D)",13/04/2011,367541,287263,135847
Robinson Crusoe,27/04/2016,177748,90938,231856
Les Condamnés,30/04/2007,3807595,1263036,126625
Kirikou et les bêtes sauvages,14/12/2005,366252,419185,57948
L'Etreinte,02/06/2021,10544,5186,271453
Party Girl,03/09/2014,80755,42751,228021
Augustine,14/11/2012,67617,39757,189411
Lock Out,25/04/2012,285441,141827,178187
Mon étoile solaire,20/05/2019,2511530,,252515
Pièce montée,17/03/2010,201213,162500,142306
Lara Croft Tomb Raider le Berceau de la Vie,27/08/2003,650146,355297,45685
Immortels,14/10/2002,5519000,3740000,33933
Le Gendre de ma vie,26/12/2018,140687,159634,259166
Madame,29/11/2017,60032,28466,238909
My Week with Marilyn,11/04/2012,102244,50850,176326
L'Étrange pouvoir de Norman,29/08/2012,137124,94477,194879
Le Carton,13/10/2004,170495,95435,56716
L'Homme de l'Eau,10/05/2021,181046,59829,238540
Elle s'appelle Ruby,10/10/2012,27469,15912,205375
L'Été nucléaire,18/05/2022,937,824,295725
Dead or Alive,25/07/2007,43958,260713,56283
Parenthèse,27/07/2016,1500,443,248033
Un fils,18/03/2020,7644,15070,276392
Garfield 2,26/07/2006,294524,268377,60513
My Name Is Khan,02/06/2010,16556,10668,175624
Star Wars: The Clone Wars,03/09/2008,184563,70925,136230
"Costa Brava, Lebanon",03/08/2022,6597,3162,292762
Largo Winch II,23/02/2011,587514,394715,135541
Very Bad Dads,28/12/2015,38800000,29205583,180723
Ben Is Back,23/01/2019,88685,34722,260109
La Passagère,01/02/2023,1420,538,2314
Promare,07/08/2019,8508,4796,274915
Les Mauvaises herbes,12/04/2017,12055,6384,248636
7 ans de séduction,17/08/2005,78428,39732,51230
Agents secrets,07/04/2004,395151,246989,48251
Les Gorilles,22/04/2015,100234,34714,224282
In the Cut,24/12/2003,135900,,28388
Ghost Bastards (Putain de fantôme),14/01/2013,18101682,8100000,213654
Ariaferma,23/11/2022,5159,940,294775
"Chien Pourri, la vie à Paris !",14/10/2020,15304,17662,277986
Ma nuit,16/03/2022,1804,382,294782
Mensonges et trahisons et plus si affinités...,15/09/2004,251378,191316,54019
Bachelorette,24/10/2012,101311,53034,193422
Faubourg 36,01/10/2008,438976,311322,60038
Detective Conan - The Scarlet Bullet,02/06/2021,13102,6628,287908
Bleeder,02/11/2016,3982,1902,58033
Tu peux garder un secret ?,14/05/2008,86519,74130,127522
Paranormal Activity 3,26/10/2011,387586,297014,188076
Tarzan,26/02/2014,155216,117248,184630
Les Enfants du Siècle,29/09/1999,170106,,20544
Enfin veuve,23/01/2008,619085,493697,125052
Otages à Entebbe,09/05/2018,16708,9328,245046
Tous les soleils,06/04/2011,188591,108511,178852
Uncle Drew,02/07/2018,15242781,6606643,257082
Zombi Child,19/06/2019,16056,6205,267957
Cursed,06/07/2005,14327,9633085,48640
Che - 1ère partie : L'Argentin,14/01/2009,234589,140831,53619
Hors du monde,26/01/2022,40,12,287669
Gaspard va au mariage,07/02/2018,55175,34184,248600
Blue Ruin,16/07/2014,26829,16616,220934
Hard Day,14/01/2015,14747,7519,228497
The Happy Prince,26/12/2018,13801,12158,212728
Nowhere Boy,15/12/2010,28879,17581,138904
Les Ogres,23/03/2016,35270,21509,229917
L'Elite de Brooklyn,12/05/2010,192641,118142,135275
Outrage,01/12/2010,19333,7626,180375
From Paris With Love,24/02/2010,201554,99017,135259
Mimzy le messager du futur,02/05/2007,54107,29183,126521
Thunder Road,19/09/2018,30216,17855,248253
Les Ritournelles de la Chouette,13/02/2019,13320,11311,268264
Détective Dee : La légende des Rois Célestes,15/08/2018,39376,20931,261663
Rhum Express,07/12/2011,58749,18546,126372
L'Affaire Josey Aimes,15/03/2006,49603,6422455,56284
Rush Hour 2,05/09/2001,825350,330666,28795
Chers camarades !,08/09/2021,9240,2714,285495
Le Grand Méchant Loup,17/07/2013,136571,99228,203950
The Search,03/12/2014,53211,12732,201452
Doubles Vies,23/01/2019,82730,42403,257934
[REC] 4,19/11/2014,140018,67209,186372
Vampire Academy,12/03/2014,47296,22052,218015
Les Bien-aimés,31/08/2011,109235,66903,187817
Strange Magic,26/01/2015,5534000,3361664,233063
Clochette et le secret des fées,17/10/2012,260050,173544,208154
My Old Lady,13/05/2015,47718,36175,221418
Alvin et les Chipmunks 3,28/12/2011,798683,698631,178869
Les Petits ruisseaux,30/06/2010,85984,65734,170405
Maggie a un plan,04/05/2016,33844,13209,226326
En Mai Fais Ce Qu'il Te Plaît,11/11/2015,109773,50335,204159
Cézanne et moi,28/09/2016,224092,145810,233662
The Fits,18/01/2017,6879,5197,239851
Cops - Les Forces du désordre,28/01/2015,74099,57823,226791
Arrête ton Cinéma!,20/01/2016,83248,37192,235862
L'Adieu à la nuit,01/05/2019,100079,63153,262092
Un Parcours de légende,03/10/2005,3657322,3905532,55131
"I, Frankenstein",05/02/2014,166331,68371,145721
L'Amour sans préavis,26/02/2003,252238,147722,45854
Mutafukaz,30/05/2018,20345,11542,238860
Je crois que je l'aime,28/02/2007,360449,216639,108911
A Chiara,20/04/2022,14821,11016,280841
Les Beaux Jours,26/06/2013,200245,144824,212004
Shark 3D,28/09/2011,113850,56238,180152
À La Folie,13/04/2022,1150,230,277998
Phoenix,04/02/2015,57466,42961,226584
Fais de beaux rêves,04/01/2017,42042,26363,239722
xXx 2 : The Next Level,04/05/2005,207910,142419,45560
Chico & Rita,13/07/2011,28868,22469,182765
Proud Mary,15/01/2018,9959053,,253234
Spider,20/11/2002,84371,,29004
Sexy Dance 5 - All In Vegas,23/07/2014,334282,196665,217490
C'est ici que l'on se quitte,22/09/2014,11558149,6894340,208248
Une Vie à t'attendre,17/03/2004,439255,175987,51408
Home,07/01/2009,724,717,130190
Jeepers Creepers 2,01/09/2003,18500000,18500000,42150
Poulet aux Prunes,02/11/2011,131854,55296,136634
Le Voyage de Fanny,25/05/2016,44669,20881,241989
Sweet Sixteen,18/12/2002,85426,,44205
This Must Be the Place,31/08/2011,71045,39950,146622
Final cut,02/03/2005,56020,,52423
Mariage à la grecque,12/02/2003,198892,125913,45569
La Brindille,28/09/2011,10494,3281,187268
Belles familles,21/10/2015,227314,160020,227272
My Lady,08/08/2018,123492,87080,249821
Le Jour des Corneilles,31/10/2012,68775,79513,194371
The Company Men,06/04/2011,89737,38719,139453
Wanted,23/04/2003,179597,116044,44435
Antigone,09/09/2020,1261,639,276600
Sous les étoiles de Paris,02/06/2021,7734,3437,199293
La Fille Inconnue,19/10/2016,84067,48330,237405
Self Control,11/06/2003,130676,44500000,41332
Ida,19/02/2014,110510,101850,223850
Oscar et la Dame Rose,16/12/2009,99583,39108,135388
Cadillac Records,08/12/2008,3445559,1585407,129163
Dear White People,01/04/2015,40402,23318,225928
Le Secret de Moonacre,20/05/2009,50894,16461,128312
La Marque des anges - Miserere,03/07/2013,113494,36189,120347
La Reine des damnés,26/06/2002,248920,60928,26871
Gerontophilia,02/04/2014,10544,5515,223803
Année Bissextile,23/06/2010,15045,7562,180603
Certaines Femmes,01/03/2017,16092,13062,243648
La Mécanique de l'ombre,18/01/2017,124675,51912,242588
Nuits de terreur,18/06/2003,52886,12500000,46891
L'Homme aux poings de fer,09/01/2013,21552,12455,186373
Valley Of Love,24/06/2015,79429,53735,229340
Grégoire Moulin contre l'humanité,31/10/2001,58382,,29131
Même la pluie,12/01/2011,49237,37040,177999
Mon année à New York,08/03/2021,28851,9207,265087
Pour un garçon,20/11/2002,274846,151586,28418
En Taule : Mode d'Emploi,30/03/2015,33803253,12925000,216632
À tous les vents du ciel,03/08/2016,1314,,241161
La Saveur des ramen,10/10/2018,29450,21090,257569
Zoolander 2,09/03/2016,46701,6155,146631
Deux fils,20/02/2019,51580,20907,251567
Sentimental,18/08/2021,9914,5673,280255
[REC]²,30/12/2009,251117,112474,137260
Submarine,27/07/2011,20312,10879,174643
Rosalie Blum,30/03/2016,143215,87372,221612
Dalton Trumbo,04/05/2016,57651,31592,224115
On arrive quand ?,24/01/2005,18575214,16346395,57043
Les Chemins du triomphe,16/01/2006,13594734,8769735,54556
L'Ange du mal,14/09/2011,38997,11378,184026
Des Feux dans la nuit,10/08/2022,2728,233,273814
Cracks,06/01/2010,4779,1934,137810
Une autre vie,29/01/2014,40454,15367,213698
Fashion victime,18/12/2002,86639,37466000,29063
Secrets de famille,17/05/2006,100099,50248,108591
Wolfman,17/02/2010,214497,93260,110815
Sorcière,08/02/2021,64911,18859,268709
Fair Game,10/11/2010,117377,58875,144111
Be Bad !,08/09/2010,63166,28629,130528
Un Homme et Son Chien,21/01/2009,117028,48146,133572
Barnie et ses petites contrariétés,28/02/2001,352563,113395,27550
[REC]³ Génesis,11/04/2012,190352,107893,175254
Rois & reine,29/12/2004,89906,95069,55662
Kill List,18/07/2012,13091,6138,196093
Rencontre à Wicker Park,02/02/2005,27062,5465000,41236
Filles de joie,01/07/2020,28192,12999,263796
Love & Friendship,29/06/2016,48913,34070,235296
Envoyés très spéciaux,28/01/2009,274472,174105,132645
Le Dernier Piano,20/04/2022,3821,3072,283755
Dorothy,13/08/2008,66070,39245,129659
Bouquet final,12/11/2008,196142,82189,131868
Le Jeune Ahmed,29/05/2019,58159,40586,249444
Les Terres saintes,23/01/2019,24230,4447,258255
Le Sanctuaire,06/04/2016,22686,7453,235389
Et maintenant on va où ?,21/09/2011,101055,74647,189935
Si demain,15/12/2021,174,,264892
Ariol prend l’avion (et autres têtes en l’air),17/04/2019,7508,6297,270311
Colt 45,13/08/2014,46845,18496,200756
Un amour de jeunesse,13/07/2011,36171,29893,185687
Chiens de paille,19/09/2011,5000000,2100000,127658
Petit Vampire,28/10/2020,155496,5874,195021
Stone,18/05/2011,71550,22775,145920
Eldorado,25/06/2008,32421,30863,128746
Chair de poule 2 : Les Fantômes d'Halloween,31/10/2018,300034,178843,247007
Brooklyn Village,28/09/2016,39318,30395,239514
Le Coût de la Vie,06/08/2003,311801,240509,49758
Vengeance,27/05/2009,65650,20684,140284
Paris Manhattan,25/07/2012,106736,64854,192355
Du Vent dans mes mollets,22/08/2012,3735,196686,194854
Un Seul deviendra invincible,24/07/2002,75669,4700000,29139
Antwone Fisher,13/01/2003,3800000,,29100
Tamara Drewe,21/07/2010,156443,108804,171229
Les Fauves,30/01/2019,11662,3606,258506
Louloute,25/08/2021,11005,4620,287251
L'Homme sans âge,21/11/2007,55001,29897,108952
Heureux les fêlés,23/11/2022,37,,279642
Bonne mère,28/07/2021,13256,7674,225024
Belgica,09/03/2016,28477,11521,227242
